,property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,,,,,,
,2 BHK Flat in Mira Road East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jp-north-mira-road-east-miraroad-and-beyond-680-sq-ft-spid-S70644630,JP North4.1 ★,95 Lac,"₹ 13,970/sq.ft.",Carpet area: 680 (63.17 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,"Pooja Room,Study Room,Servant Room,Others","506, Mira Road East, Mira Road And Beyond, Mumbai",5th   of 23 Floors,North-West,1 to 5 Year Old,"['Metro Station', 'Ghodbunder Market', 'D Mart Mira Road', 'Maxus Mall', 'Sanjay Gandhi National Park', 'Western Express Highway', 'Mira Road', 'Singapore International School', ""St. Xavier's High School"", 'Vedant International High School', 'Wockhardt Hospitals', 'Seven Eleven Hospital', 'International Airport.', 'Ghodbunder Bus Depot', 'Hotel Western']","Located in the popular residential address of mira road east, mira road and beyond, jp north is one of the most preferred destination for apartments in mira road and beyond. This 2 bhk flat is your ticket to be a part of this community. Constructed on a carpet area of 680 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and more than 3 balconies. The residential building has 23 floors in total and the flat for sale is located on the 5th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :The apartment has borings water supply.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Management4.1 out of 5', 'Connectivity3.9 out of 5', 'Amenities4.2 out of 5', 'Construction4.1 out of 5', 'Green Area4 out of 5']",S70644630,,,,,,
,1 BHK Flat in Mira Road East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-jp-north-mira-road-east-miraroad-and-beyond-488-sq-ft-spid-K70644592,JP North4.1 ★,65 Lac,"₹ 13,319/sq.ft.",Carpet area: 488 (45.34 sq.m.),1 Bedroom,2 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room,Others","1509, Mira Road East, Mira Road And Beyond, Mumbai",15th   of 23 Floors,South,1 to 5 Year Old,"['Metro Station', 'Ghodbunder Market', 'D Mart Mira Road', 'Maxus Mall', 'Sanjay Gandhi National Park', 'Western Express Highway', 'Mira Road', 'Singapore International School', ""St. Xavier's High School"", 'Vedant International High School', 'Wockhardt Hospitals', 'Seven Eleven Hospital', 'International Airport.', 'Ghodbunder Bus Depot', 'Hotel Western']","This 1 bhk flat is located in jp north, which houses some of the most spacious flats in mira road east, mira road and beyond. The floor plan additionally contains 1 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a carpet area of 488 sq.Ft. The residential building has 23 floors in total and the flat for sale is located on the 15th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.
 Additional details :The apartment has borings water supply.
Full power backup is available.
The society has dedicated security guards for every tower.","['1 Bed', '1 Wardrobe', '3 Fan', '1 Exhaust Fan', '3 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Management4.1 out of 5', 'Connectivity3.9 out of 5', 'Amenities4.2 out of 5', 'Construction4.1 out of 5', 'Green Area4 out of 5']",K70644592,,,,,,
,1 BHK Flat in Vinay Nagar,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-jp-north-celeste-vinay-nagar-mira-road-and-beyond-495-sq-ft-spid-S70632838,JP North Celeste,70 Lac,"₹ 14,141/sq.ft.",Carpet area: 495 (45.99 sq.m.),1 Bedroom,2 Bathrooms,3 Balconies,Others,"701, Vinay Nagar, Mira Road And Beyond, Mumbai",7th   of 15 Floors,North-West,1 to 5 Year Old,"['Ghodbunder Market', 'Landmark Heights Apartment Parking', 'Shree Hatkesh Mahadev Temple', 'Chinchaba Devi Mandir', 'Shree Datta Mandir', 'Shiv Temple', 'Shiv temple', 'Shri Saibaba Mandir', 'Khoja Jamat Khana', 'Canara bank ATM', 'Axis bank ATM', ""Saint Anne's Hospital"", 'Samartha Hospital', 'Yashoda Maternity and Nursing Home', 'Aryan Child Healthcare Centre and Nursing Home', 'Orbit Super Speciality Hospital', 'A Care Orthopaedic and General Hospital', 'Dr Suris Maternity and Surgical Nursing Home', 'Roshni Maternity and Nursing Home', 'Gayatri Maternity and Ear Nose Throat Hospital', ""Dr.Singh's Advanced Homeopathy FOR CANCER KIDNEY AND DIABETES"", 'Karuna Nursing Home Thane', 'Galaxy Hospital', 'Bhaktivedanta Hospital', 'Vipassana Hospital', 'Life Care Hospital Mira Road', 'Dr Dragos Life Line General andMaternity Hospital', 'Indra Maternity and Surgical Nursing Home', 'Sushrut Maternity and Surgical Nursing Home', 'Badri-Vishal Polyclinic and Hospital', 'Dr Preeti Murthy', 'Om Hospital Poonam Nagar', 'Parmar Nursing Home', 'Sai Aashirwad Hospital', 'Better Sight and Research Center', 'St Joseph church', 'HP Petrol Pump Namaskar Service', 'Indian Oil', 'Punjab national bank', 'Hdfc bank', 'Bank of india mira road branch', ""Dara's Dhaba"", 'Global Networks', 'Balaji Veg Restaurant', ""McDonald's"", 'St X', 'Holycross convent school ground', 'Holy cross convent school', 'St X1']","This lovely 1 bhk apartment/flat in vinay nagar is available for sale in one of mira road and beyond's most popular projects, jp north celeste. Containing 1 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a carpet area of 495 sq.Ft. The flat has a total of 15 floors and this property is situated on 7th floor. This 0-1 year old property is available for immediate possession as the project is ready to move.
 Additional details :The apartment has borings water supply.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center']","['Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4.1 out of 5', 'Environment4 out of 5']",S70632838,,,,,,
,2 BHK Flat in Powai,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-powai-central-mumbai-suburbs-689-sq-ft-spid-Z70664742,hiranandani gardens,2.75 Crore,"₹ 39,912/sq.ft.",Carpet area: 689 (64.01 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,Others,"Powai, Central Mumbai suburbs, Mumbai",17th   of 24 Floors,South-West,1 to 5 Year Old,"['Idfc first bank ATM', 'Dental Clinic - Dr Tania Thukral', ""Mamaji's Medical Store"", 'Wellness Forever', 'Hiranandani Business Park', 'Hdfc bank', 'Hsbc bank', 'Parabola Restaurant', 'Rodas - An Ecotel Hotel', 'Le Pain Quotidien', 'Crafters above KFC', 'Crafters - The Tap House', 'KFC', 'The Wadapav Cafe', ""Smokin Joe's Pizza"", 'The Beer Cafe', ""Kareem's"", 'Hoppipola', 'Little Punjab Restaurant', 'Galleria Juice and Snacks', 'The Butter Kitchen above aromas', 'Aromas', 'Bollyfood', 'The Butter Kitchen', 'Rainbow Juice Center', 'Dosa Maker', 'Starbucks Coffee', 'Wraps junction', 'Sigree Global Grill above maple', 'Rolls Mania', ""Harry's Bar and Cafe"", 'Paratha World', 'Dum Matka', 'Hanglas - The Taste of Kolkata', 'China Chilli', 'Asian Wok', 'Juicy rasoi', 'Snacks and Sweet', 'Charpai - The Flavour', 'Shaolin', 'Faasos', 'Juicy Stuff', 'China House', 'Pepper', 'Malawani Touch', 'K3 snacks and sweets', 'Crrave N eat', 'Achija Fast Food', 'Peetuk', 'Suzette Cafe']","Looking for a 2 bhk property for sale in central mumbai suburbs? Buy this 2 bhk flat in hiranandani gardens that is situated in powai, central mumbai suburbs. The flat is over 689 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms . The residential building has 24 floors in total and the flat for sale is located on the 17th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.5 out of 5', 'Connectivity4.4 out of 5', 'Safety4.4 out of 5', 'Environment4.4 out of 5']",Z70664742,,,,,,
,1 BHK Flat in Hiranandani Gardens Powai,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-regent-hill-hiranandani-gardens-powai-central-mumbai-suburbs-380-sq-ft-spid-U70633354,Hiranandani Regent Hill,1.5 Crore,"₹ 39,473/sq.ft.",Carpet area: 380 (35.3 sq.m.),1 Bedroom,2 Bathrooms,No Balcony,Others,"Hiranandani Gardens Powai, Central Mumbai suburbs, Mumbai",2nd   of 25 Floors,South-East,1 to 5 Year Old,"['Marol Naka Metro Station', 'Galleria Mall', 'Haiko Supermarket', 'Heera Panna Shopping Centre', 'R City Mall', 'Hiranandani Foundation School', 'IIT Bombay', 'Dr L H Hiranandani Hospital', 'Seven Hills Hospital', 'Empire Plaza, Vikhroli', 'Aurum IT Park', 'Lemon Tree Premier', 'Hakone Entertainment Centre', 'Racquet Club', 'HFS International & Forest Club']","This beautiful 1 bhk flat in hiranandani gardens powai, central mumbai suburbs is situated in hiranandani regent hill, one of the popular residential society in central mumbai suburbs. Constructed on a carpet area of 380 sq.Ft., the flat comprises 1 bedroom(s), 2 bathrooms . This flat is situated on the 2nd floor of this 25 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.","['1 Water Purifier', '3 Fan', '1 Geyser', '1 Stove', '12 Light', '1 Curtains', '2 AC', '1 Modular Kitchen', '1 Chimney', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.6 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5', 'Environment4.6 out of 5']",U70633354,,,,,,
,2 BHK Flat in Ghatkopar East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-neelam-solstice-ghatkopar-east-central-mumbai-suburbs-876-sq-ft-spid-Z70614978,Neelam Solstice,2 Crore,"₹ 22,831/sq.ft.",Carpet area: 876 (81.38 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Others,"Ghatkopar East, Central Mumbai suburbs, Mumbai",2nd   of 26 Floors,West,1 to 5 Year Old,"[""St. Anthony's Chaple"", 'ganesh mandir', 'Shrimad rajchandra gyan mandir', 'Siddhivinayak Temple', 'Bab-e-Rahmat Masjid', 'Bismillah Masjid', 'Faiz-ul-Rasool Masjid', 'Gazi Masgid', 'Sai baba mandir', 'Dadasaheb Gaikwad BMC Hospital', 'Eye Essential Hospital', 'Dr Mehta Nursing Home', 'Sona Maternity and Surgical Nursing Home', 'Mandakini Nuclear Imaging Centre', 'Ashirwad Heart Hospital', 'Ashirvaad Heart Hospital', 'Asha Polyclinic and Sheetal Nursing Home', 'Metalife', ""Dr. Trivedi's Maternity Nursing Home & Aakar IVF Test Tube Baby Centre"", 'Dr Chauhans Sanjeevani Hospital', 'Hiren Mehta Eye Care Centre', 'Kamdar Nursing Home and Polyclinic Pvt. Ltd.', 'Tara Neo Surg Hospital', 'Vatsal Nicu and Childrens Hospital', 'Excel Ent Hospital', 'Mumbai Heart Clinic Associate of Rane Hospital Pvt Ltd', 'Clinic', 'Jain Eye Clinic', 'Advanced Orthopaedic and Super Speciality Center', 'Bakul Parekh Children Hospital', 'Saraswati Eye Hospital Mumbai', 'Cg Eye Foundaton and Shree Ghatkopar Brahman Samaj', 'Ashwini Maternity and Surgical Hospital Ghatkopar E', 'bhavin medical stores', 'Induslnd bank', 'Icici bank', 'Arihant co-op bank', 'Indian overseas bank', 'New india co -op bank', 'puspa vihar hotel', 'Agarwal Juice Centre', 'Ram cafe', 'Sadguru', 'Cafe Coffee Day', 'Gurukrupa Restaurant', 'Hotel Popular', 'Achija Restaurant', 'Sakil Hotel', 'Madersa Ayesha Lil-Banat Education Trest']","Located in the popular residential address of ghatkopar east, central mumbai suburbs, neelam solstice is one of the most preferred destination for apartments in central mumbai suburbs. This 2 bhk flat is your ticket to be a part of this community. The flat is over 876 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. The residential building has 26 floors in total and the flat for sale is located on the 2nd floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.3 out of 5', 'Connectivity4.5 out of 5', 'Safety4.3 out of 5', 'Environment4 out of 5']",Z70614978,,,,,,
,3 BHK Flat in Ghatkopar East,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-neelam-solstice-ghatkopar-east-central-mumbai-suburbs-915-sq-ft-spid-O70614936,Neelam Solstice,2.35 Crore,"₹ 25,683/sq.ft.",Carpet area: 915 (85.01 sq.m.),3 Bedrooms,2 Bathrooms,1 Balcony,Others,"Ghatkopar East, Central Mumbai suburbs, Mumbai",17th   of 26 Floors,West,1 to 5 Year Old,"['Temple', 'jalaram mandir', 'Tahera Masjid', 'Hanuman Temple', 'Shiv Mandir', 'Dr. Bhanushalis Nursing Home', 'Shree Sukh Shanti Hospital', 'Dr Sonagra Medical and Surgical Centre', 'new life hospital', 'Nachiketa Health Care Center', 'Dr. Savlas Stone Clinic And Endoscopy Centre', 'Kedia Nursing Home', 'Shradha Heart Hospital', 'Jeevandeep Children Hospital Mumbai', 'Nulife Hospital Mumbai', 'Clear Vision Eye Center', 'Jivdaya Hospital', ""Dr Sule's Vaibhav Polyclinic and Siddharth Nursing Home"", 'Sanghavi Eye Clinic', 'Pasaydan Hospital and Trust', 'Vivek Maternity and Nursing Home', 'Disha Hospital', 'Abhishek Nursing Home', 'Vatsalya Maternity and Surgical Nursing Home', 'Mahaveer Nursing Home Mumbai', 'Dr. Vinod B Joshi Maternity Nursing Home', 'Sanjeevani Nursing Home', 'Shreeji Hospital Ghatkopar', 'Ascent Clinic', 'Medico Surgical Clinic and Hospital', 'The Metropolitan Heart Institute and Research Centre', 'Noble Hospital Ghatkopar', 'Navnirman Maternity and Surgical Hospital', 'muktabai hospital', 'Zynova Heart Hospital', 'Sarvodaya Hospital', 'H.J. Doshi Ghatkopar Hindu Sabha Hospital', 'Amar Jyot Eye Care Centre', 'Jeevan Jyot Hospital', 'Matangi Nursing Home', 'Doshi Nursing Home', 'Shanti Nursing Home Mumbai', ""Dr. Dipak Desai's Ear Nose and Throat Hospital"", 'Varun Cardiac Clinic', 'Neelkanth Corporate IT Park', 'Ghatkopar', 'Jai Bhavani Restaurant', 'K. J. Somaiya College', 'Garodia International Centre for Learning Mumbai', 'Ghatkopar railway station']","This beautiful 3 bhk flat in ghatkopar east, central mumbai suburbs is situated in neelam solstice, one of the popular residential society in central mumbai suburbs. The flat occupies a carpet area of 915 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. This flat lies on the 17th level of a 26 storey building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.3 out of 5', 'Connectivity4.5 out of 5', 'Safety4.3 out of 5', 'Environment4 out of 5']",O70614936,,,,,,
,3 BHK Flat in Hiranandani Gardens Powai,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adonia-apartments-hiranandani-gardens-powai-central-mumbai-suburbs-1600-sq-ft-spid-S70590740,Adonia Apartments,8.9 Crore,"₹ 55,625/sq.ft.",Carpet area: 1600 (148.64 sq.m.),3 Bedrooms,3 Bathrooms,1 Balcony,Others,"Hiranandani Gardens Powai, Central Mumbai suburbs, Mumbai",6th   of 31 Floors,South-East,1 to 5 Year Old,"['Pay and park', 'Caratlane ATM', 'Jana small finance bank ATM', ""Dr.. Ramesh Iyer's Clinic"", 'Medic Aid Post', 'SRL Diagnostics', 'Ambaji Medicals', 'Life Panacea', 'Kotak mahindra bank', 'Mahindra bank', 'Axis bank', 'Icici bank', 'State bank of india', 'Credit suisse bank', 'Sbi bank', 'Jana small finance bank', 'Hsbc bank', 'Subway', 'Chaayos', 'BusaGo', 'Mad over donuts', 'Santosh chaat corner', 'Mainland China', 'Theobroma', 'Poetry - By Love and Cheescake', 'Jewels Food Court', 'Jumbo King', 'Red Olives', 'JumboKing', 'Four Fountains De-stress Spa', 'Mohini Fast food', 'Mohini Fast Food', 'Mohini', 'Doodh Sarita Dairy', 'Pick Pocket', 'Pick pocket', 'Trupti farsan', 'Trupti Farsan', 'Pizzaexpress', 'Pizza Express', 'El Rancho', ""Chili's"", 'Sigree Global Grill', 'Pot belly', 'Pot Belly', 'Starbucks Coffee', 'Sweet house Mafia', 'Eurokids', 'Happy Minds']","This 3 bhk flat is located in adonia apartments, which houses some of the most spacious flats in hiranandani gardens powai, central mumbai suburbs. The flat is over 1600 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 1 balcony. The residential building has 31 floors in total and the flat for sale is located on the 6th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.","['1 Water Purifier', '2 Fan', '1 Geyser', '1 Stove', '19 Light', '1 Chimney', '1 Modular Kitchen', '2 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.6 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5', 'Environment4.6 out of 5']",S70590740,,,,,,
,1 BHK Flat in Hiranandani Gardens Powai,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-regent-hill-hiranandani-gardens-powai-central-mumbai-suburbs-385-sq-ft-spid-J70731448,Hiranandani Regent Hill,1.52 Crore,"₹ 39,480/sq.ft.",Carpet area: 385 (35.77 sq.m.),1 Bedroom,2 Bathrooms,No Balcony,Others,"Hiranandani Gardens Powai, Central Mumbai suburbs, Mumbai",3rd   of 25 Floors,South,1 to 5 Year Old,"['Marol Naka Metro Station', 'Galleria Mall', 'Haiko Supermarket', 'Heera Panna Shopping Centre', 'R City Mall', 'Hiranandani Foundation School', 'IIT Bombay', 'Dr L H Hiranandani Hospital', 'Seven Hills Hospital', 'Empire Plaza, Vikhroli', 'Aurum IT Park', 'Lemon Tree Premier', 'Hakone Entertainment Centre', 'Racquet Club', 'HFS International & Forest Club']","This 1 bhk flat is located in hiranandani regent hill, which houses some of the most spacious flats in hiranandani gardens powai, central mumbai suburbs. Containing 1 bedroom(s), 2 bathrooms , this flat is spread over a carpet area of 385 sq.Ft. The property is located on the 3rd floor of a 25 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.6 out of 5', 'Connectivity4.5 out of 5', 'Safety4.5 out of 5', 'Environment4.6 out of 5']",J70731448,,,,,,
,1 BHK Flat in Mira Road East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-salasar-exotica-mira-road-east-miraroad-and-beyond-436-sq-ft-spid-K70644840,Salasar Exotica,73 Lac,"₹ 16,743/sq.ft.",Carpet area: 436 (40.51 sq.m.),1 Bedroom,2 Bathrooms,3 Balconies,"Pooja Room,Study Room,Servant Room,Others","701, Mira Road East, Mira Road And Beyond, Mumbai",7th   of 22 Floors,East,0 to 1 Year Old,"['Ghodbunder Market', 'Landmark Heights Apartment Parking', 'Shree Hatkesh Mahadev Temple', 'Shree Datta Mandir', 'Khoja Jamat Khana', 'Chinchaba Devi Mandir', 'Sunni Mosque', 'Axis bank ATM', 'Canara bank ATM', 'Galaxy Hospital', 'Ansh Hospital', 'Shalom Medicare Pvt. Ltd.', 'Karuna Nursing Home Thane', 'Family Care Hospitals', 'A Care Orthopaedic and General Hospital', 'Yashoda Maternity and Nursing Home', 'Tanwar Hospital Thane', 'Apple Hospital and Medical Centre', 'Thunga Hospital', 'Samartha Hospital', 'Deepak Hospital', 'Dr Preeti Murthy', 'Life Care Hospital Mira Road', 'Jugura Hospital - Thane', 'Chirayu Superspeciality Hospital', 'Shiv Om Hospital', 'Roshni Maternity and Nursing Home', 'Vipassana Hospital', 'Dr Dragos Life Line General andMaternity Hospital', 'Sai Aashirwad Hospital', 'Balaji Hospital', 'Dr Suris Maternity and Surgical Nursing Home', 'Sushrut Maternity and Surgical Nursing Home', 'joggers', 'St Joseph church', 'Indian Oil', 'Bharat Petroleum & CNG Pump', 'Bank of india', ""McDonald's"", 'mira veg restaurants', 'Mira-Bhayander', 'Mahalaxmi Sweets', 'Cafe Nostalgia', 'food swing', 'RBK School', 'Holycross convent school ground', 'Holy cross convent school', 'St X', 'Queen Marys High School', 'St X1']","This 1 bhk apartment is available for sale in salasar exotica, one of the most prominent projects for flats in mira road east, mira road and beyond. The floor plan additionally contains 1 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a carpet area of 436 sq.Ft. The property is located on the 7th floor of a 22 floors tall building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center']","['Lifestyle4.3 out of 5', 'Connectivity4.5 out of 5', 'Safety4.3 out of 5', 'Environment4.1 out of 5']",K70644840,,,,,,
,2 BHK Flat in Majiwada,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sheth-vasant-fiona-majiwada-mumbai-thane-850-sq-ft-spid-A70705560,Sheth Vasant Fiona,1.45 Crore,"₹ 17,058/sq.ft.",Super Built up area 850(78.97 sq.m.)Built Up area: 790 sq.ft. (73.39 sq.m.)Carpet area: 680 sq.ft. (63.17 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,Others,"126, Majiwada, Thane, Mumbai",4th   of 11 Floors,East,5 to 10 Year Old,"['Krishna temple', 'Sai Ashutosh Hospital', 'Param Hospital and Icu', ""Dr Bansal's Arogya Hospital"", 'Aditya Orthopedic Hospital', 'Smiles Unlimited Dental Clinic', 'Ekta Hospital', 'Jupiter Hospital', 'Care and Cure Clinic', 'Infinity Medisurge Centre Speciality Hospital', 'Dr Jyotsna Jagtaps Ent Hospital and Hearing Aid Centre', 'Dr Walvatkars Eye Care Center', 'Aarambh Hospital', 'Royal Hospital', 'Shilotri Hospital', 'Jyotimay Eye Hospital', 'Akshaya Surgical and Maternity Home', 'Pioneer Health Care', 'Dr.Kshirsagars Nursing Home', 'Senses Eye and Ent Hospital', ""Dr Manish Patankar's Nath Hospital"", 'Ajinkya Nursing Home Thane', 'Sahil Hospital Thane', 'Shree Swami Samartha Netralaya', 'Laxmi Jyot Eye Hospital Thane', 'Lifeline Hospital Thane', 'Shri Gajanan Netralaya', 'Sunjeevan Hospital and I C U', 'Suleman Mulla Hospital', 'Highland Speciality Hospital', 'Aishwarya Nursing Home - Thane', 'Renuka Nursing Home Thane', 'Kailash', 'Cinepolis', 'CinemaStar', 'Cinemax -WonderMall', 'Bank of baroda', 'Saraswat bank', 'Yes bank', 'Cafe Coffee Day', 'China Bristo', 'Gauri Poli Bhaji Kendra', ""Domino's"", 'Bombay Barbeque', ""Chap's Tasty Chinese"", 'The Kitchen', 'Sai Vihar Family Restaurant & Bar', 'Shreerang Vidyalaya', 'Municipal Primary School', 'Indian library']","This lovely 2 bhk apartment/flat in majiwada is available for sale in one of thane's most popular projects, sheth vasant fiona. The flat is over 850 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms . The property is located on the 4th floor of a 11 floors tall building. This is a ready to move project and the property is 5-10 years old.","['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '8 Light', '2 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Lifestyle4.3 out of 5', 'Connectivity4.2 out of 5', 'Safety4.2 out of 5', 'Environment4 out of 5']",A70705560,,,,,,
